addressable, 2.3.6, Apache 2.0
ast, 2.0.0, MIT
astrolabe, 1.3.0, MIT
berkshelf, 3.2.3, Apache 2.0
berkshelf-api-client, 1.2.1, Apache 2.0
buff-config, 1.0.1, Apache 2.0
buff-extensions, 1.0.0, Apache 2.0
buff-ignore, 1.1.1, Apache 2.0
buff-ruby_engine, 0.1.0, Apache 2.0
buff-shell_out, 0.2.0, Apache 2.0
bundler, 1.7.6, MIT
busser, 0.6.0, Apache 2.0
busser-serverspec, 0.5.3, Apache 2.0
celluloid, 0.16.0, MIT
celluloid-io, 0.16.1, MIT
chef, 12.0.3, Apache 2.0
chef-zero, 3.2.1, Apache 2.0
chefspec, 4.2.0, MIT
cleanroom, 1.0.0, Apache 2.0
coderay, 1.1.0, MIT
dep-selector-libgecode, 1.0.2, MIT, Apache 2.0
dep_selector, 1.0.3, Apache v2
diff-lcs, 1.2.5, MIT, Perl Artistic v2, GNU GPL v2
erubis, 2.7.0, MIT
faraday, 0.9.1, MIT
fauxhai, 2.2.0, MIT
ffi, 1.9.6, BSD
ffi-yajl, 1.3.1, Apache 2.0
foodcritic, 4.0.0, MIT
formatador, 0.2.5, MIT
gherkin, 2.12.2, MIT
guard, 2.11.1, MIT
guard-compat, 1.2.1, MIT
guard-rspec, 4.5.0, MIT
guard-rubocop, 1.2.0, MIT
hashie, 2.1.2, MIT
highline, 1.6.21, ruby
hitimes, 1.2.2, ISC
httparty, 0.13.3, MIT
ipaddress, 0.8.0, MIT
json, 1.8.2, ruby
kitchen-vagrant, 0.15.0, Apache 2.0
libyajl2, 1.2.0, Apache 2.0
license_finder, 1.2, MIT
listen, 2.8.5, MIT
lumberjack, 1.0.9, MIT
method_source, 0.8.2, MIT
mime-types, 1.25.1, MIT, Artistic 2.0, GPL-2
mini_portile, 0.6.2, MIT
minitar, 0.5.4, ruby
mixlib-authentication, 1.3.0, Apache 2.0
mixlib-cli, 1.5.0, Apache 2.0
mixlib-config, 2.1.0, Apache 2.0
mixlib-log, 1.6.0, Apache 2.0
mixlib-shellout, 2.0.1, Apache 2.0
multi_json, 1.10.1, MIT
multi_xml, 0.5.5, MIT
multipart-post, 2.0.0, MIT
nenv, 0.2.0, MIT
net-dhcp, 1.3.2, other
net-http-persistent, 2.9.4, MIT
net-scp, 1.2.1, MIT
net-ssh, 2.9.2, MIT
net-ssh-gateway, 1.2.0, MIT
net-ssh-multi, 1.2.0, MIT
nio4r, 1.1.0, MIT
nokogiri, 1.6.6.2, MIT
notiffany, 0.0.3, MIT
octokit, 3.7.0, MIT
ohai, 8.0.1, Apache 2.0
parser, 2.2.0.2, MIT
plist, 3.1.0, MIT
polyglot, 0.3.5, MIT
powerpack, 0.0.9, MIT
pry, 0.10.1, MIT
rack, 1.6.0, MIT
rainbow, 2.0.0, MIT
rake, 10.4.2, MIT
rb-fsevent, 0.9.4, MIT
rb-inotify, 0.9.5, MIT
retryable, 2.0.0, MIT
ridley, 4.1.2, Apache 2.0
rspec, 3.1.0, MIT
rspec-core, 3.1.7, MIT
rspec-expectations, 3.1.2, MIT
rspec-its, 1.1.0, MIT
rspec-mocks, 3.1.3, MIT
rspec-support, 3.1.2, MIT
rubocop, 0.28.0, MIT
ruby-progressbar, 1.7.1, MIT
rufus-lru, 1.0.5, MIT
safe_yaml, 1.0.4, MIT
sawyer, 0.6.0, MIT
semverse, 1.2.1, Apache 2.0
sequel, 4.18.0, MIT
serverspec, 2.8.0, MIT
shellany, 0.0.1, MIT
slop, 3.6.0, MIT
solve, 1.2.1, Apache 2.0
specinfra, 2.12.0, MIT
sqlite3, 1.3.10, New BSD
systemu, 2.6.4, ruby
test-kitchen, 1.3.1, Apache 2.0
thor, 0.19.1, MIT
timers, 4.0.1, MIT
treetop, 1.5.3, MIT
uuidtools, 2.1.5, Apache 2.0
varia_model, 0.4.0, Apache 2.0
wmi-lite, 1.0.0, Apache 2.0
xml-simple, 1.1.4, ruby
yajl-ruby, 1.2.1, MIT
